"sectores","nueva aurora","recreo","forestal","chorrillos","viña oriente","miraflores","santa inés","plan","achupallas","gómez carreño","reñaca alto","reñaca","rezagados","total comunal"
"total de 0 a 4 años",1228,1469,2270,477,1652,1799,844,1650,2857,1195,2147,889,63,18540
"total de 5 a 9 años",1359,1576,2592,565,1963,1942,928,1676,3030,1445,2420,1097,88,20681
"total de 10 a 14 años",1463,1860,2840,636,2414,2211,1028,2043,3223,1633,2588,1382,101,23422
"total de 15 a 19 años",1499,2311,2735,699,2336,2396,1216,3780,3064,1611,2402,1669,92,25810
"total de 20 a 24 años",1396,2605,2539,639,2310,2418,1338,5475,2975,1540,2113,1670,57,27075
"total de 25 a 29 años",1248,1974,2303,504,1825,2110,1061,3138,2704,1297,1860,1017,46,21087
"total de 30 a 34 años",1257,1647,2287,490,1731,1924,942,2244,2730,1342,1929,842,63,19428
"total de 35 a 39 años",1358,1716,2446,580,2057,1944,954,2232,2831,1617,2169,970,72,20946
"total de 40 a 44 años",1308,1879,2231,596,2264,1973,1005,2348,2640,1607,2034,1195,90,21170
"total de 45 a 49 años",1053,1663,1628,485,1829,1637,892,2305,2047,1322,1444,1185,77,17567
"total de 50 a 54 años",818,1634,1445,432,1317,1559,757,2299,1820,887,1093,954,46,15061
"total de 55 a 59 años",799,1469,1254,360,1045,1370,636,2234,1416,678,802,668,36,12767
"total de 60 a 64 años",770,1313,1083,265,998,1182,467,2073,1166,796,643,479,14,11249
"total de 65 a 69 años",647,1189,910,274,920,903,420,2045,934,851,508,331,14,9946
"total de 70 a 74 años",643,1236,840,252,811,801,454,2124,779,785,416,276,5,9422
"total de 75 a 79 años",340,861,537,167,439,457,295,1641,409,491,211,166,8,6022
"total de 80 años y más",313,1112,465,233,405,466,302,2214,431,407,211,164,15,6738
