Sector,Fila,Columna,Distancia
0,0,0,3098.6388
0,0,1,2862.0633
0,0,2,2625.6547
0,0,3,2389.4625
0,0,4,2153.5581
0,0,5,1918.0475
0,0,6,1683.0961
0,0,7,1448.9759
0,0,8,1216.1671
0,0,9,985.5994
0,0,10,759.3171
0,0,11,542.7073
0,0,12,353.9951
0,0,13,262.5
0,0,14,353.9951
0,0,15,542.7073
0,0,16,759.3171
0,0,17,985.5994
0,0,18,1216.1671
0,0,19,1448.9759
0,0,20,1683.0961
0,0,21,1918.0475
0,0,22,2153.5581
0,0,23,2389.4625
0,0,24,2625.6547
0,0,25,2862.0633
0,0,26,3098.6388
0,0,27,3335.3457
0,0,28,3572.158
0,0,29,3809.0558
0,0,30,4046.0243
0,0,31,4283.0516
0,0,32,4520.1286
0,0,33,4757.2478
0,0,34,4994.4031
0,0,35,5231.5897
0,0,36,5468.8036
0,0,37,5706.0412
0,0,38,5943.2998
0,0,39,6180.5769
0,0,40,6417.8706
0,0,41,6655.1789
0,0,42,6892.5005
0,0,43,7129.8339
0,0,44,7367.1781
0,1,0,3087.5
0,1,1,2850.0
0,1,2,2612.5
0,1,3,2375.0
0,1,4,2137.5
0,1,5,1900.0
0,1,6,1662.5
0,1,7,1425.0
0,1,8,1187.5
0,1,9,950.0
0,1,10,712.5
0,1,11,475.0
0,1,12,237.5
0,1,13,0.0
0,1,14,237.5
0,1,15,475.0
0,1,16,712.5
0,1,17,950.0
0,1,18,1187.5
0,1,19,1425.0
0,1,20,1662.5
0,1,21,1900.0
0,1,22,2137.5
0,1,23,2375.0
0,1,24,2612.5
0,1,25,2850.0
0,1,26,3087.5
0,1,27,3325.0
0,1,28,3562.5
0,1,29,3800.0
0,1,30,4037.5
0,1,31,4275.0
0,1,32,4512.5
0,1,33,4750.0
0,1,34,4987.5
0,1,35,5225.0
0,1,36,5462.5
0,1,37,5700.0
0,1,38,5937.5
0,1,39,6175.0
0,1,40,6412.5
0,1,41,6650.0
0,1,42,6887.5
0,1,43,7125.0
0,1,44,7362.5
0,2,0,3098.6388
0,2,1,2862.0633
0,2,2,2625.6547
0,2,3,2389.4625
0,2,4,2153.5581
0,2,5,1918.0475
0,2,6,1683.0961
0,2,7,1448.9759
0,2,8,1216.1671
0,2,9,985.5994
